DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Points,Year,RaceNumber,EventName,CircuitName,QualiPosition,BestQualiTime,AvgFinishLast5,AvgQualiLast5,PointsLast3,ConstructorAvgFinishLast3,Podium,ConstructorPodiumRateSeason,DriverCircuitAvgFinish,DriverCircuitBestFinish,DNF,DNFRateSeason,PodiumRateSeason,CumConstructorPoints,ConstructorChampPos,PoleTime,QualiGapToPole
23,ALB,Williams,14.0,13.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir,14.0,92.664,11.0,11.0,0.0,11.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,2.1059999999999945
14,ALO,Alpine,8.0,9.0,Finished,2.0,2022,1,Bahrain Grand Prix,Sakhir,8.0,92.195,11.0,11.0,0.0,11.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,1.6369999999999862
77,BOT,Alfa Romeo,6.0,6.0,Finished,8.0,2022,1,Bahrain Grand Prix,Sakhir,6.0,91.56,11.0,11.0,0.0,11.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,1.0019999999999953
10,GAS,AlphaTauri,10.0,20.0,Power Unit,0.0,2022,1,Bahrain Grand Prix,Sakhir,10.0,92.338,11.0,11.0,0.0,11.0,0,0.0,,20.0,1,0.0,0.0,0.0,6.0,90.558,1.779999999999987
44,HAM,Mercedes,5.0,3.0,Finished,15.0,2022,1,Bahrain Grand Prix,Sakhir,5.0,91.238,11.0,11.0,0.0,11.0,1,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,0.6799999999999926
27,HUL,Aston Martin,17.0,17.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir,17.0,92.777,11.0,11.0,0.0,11.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,2.218999999999994
6,LAT,Williams,20.0,16.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir,20.0,93.634,11.0,11.0,0.0,13.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,3.0759999999999934
16,LEC,Ferrari,1.0,1.0,Finished,26.0,2022,1,Bahrain Grand Prix,Sakhir,1.0,90.558,11.0,11.0,0.0,11.0,1,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,0.0
20,MAG,Haas F1 Team,7.0,5.0,Finished,10.0,2022,1,Bahrain Grand Prix,Sakhir,7.0,91.808,11.0,11.0,0.0,11.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,1.25
47,MSC,Haas F1 Team,12.0,11.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir,12.0,91.998,11.0,11.0,0.0,5.0,0,0.0,,20.0,0,0.0,0.0,10.0,3.0,90.558,1.4399999999999977
4,NOR,McLaren,13.0,15.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir,13.0,92.008,11.0,11.0,0.0,11.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,1.4499999999999886
31,OCO,Alpine,11.0,7.0,Finished,6.0,2022,1,Bahrain Grand Prix,Sakhir,11.0,91.782,11.0,11.0,0.0,9.0,0,0.0,,20.0,0,0.0,0.0,2.0,5.0,90.558,1.2239999999999895
11,PER,Red Bull Racing,4.0,18.0,Fuel pressure,0.0,2022,1,Bahrain Grand Prix,Sakhir,4.0,90.921,11.0,11.0,0.0,11.0,0,0.0,,20.0,1,0.0,0.0,0.0,6.0,90.558,0.36299999999999955
3,RIC,McLaren,18.0,14.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir,18.0,92.945,11.0,11.0,0.0,15.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,2.3869999999999862
63,RUS,Mercedes,9.0,4.0,Finished,12.0,2022,1,Bahrain Grand Prix,Sakhir,9.0,92.216,11.0,11.0,0.0,3.0,0,1.0,,20.0,0,0.0,0.0,15.0,2.0,90.558,1.657999999999987
55,SAI,Ferrari,3.0,2.0,Finished,18.0,2022,1,Bahrain Grand Prix,Sakhir,3.0,90.687,11.0,11.0,0.0,1.0,1,1.0,,20.0,0,0.0,0.0,26.0,1.0,90.558,0.12899999999999068
18,STR,Aston Martin,19.0,12.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir,19.0,93.032,11.0,11.0,0.0,17.0,0,0.0,,20.0,0,0.0,0.0,0.0,6.0,90.558,2.4739999999999895
